source,latitude,longitude
Haymarket Square,42.2148,-71.033
Back Bay,42.3503,-71.081
North End,42.3647,-71.0542
North Station,42.3661,-71.0631
Beacon Hill,42.3588,-71.0707
Fenway,42.3429,-71.1003
Beacon Hill,42.3647,-71.0542
North Station,42.3647,-71.0542
North Station,42.2148,-71.033
North Station,42.3503,-71.081
North End,42.3588,-71.0707
North End,42.2148,-71.033
Boston University,42.3505,-71.1054
Boston University,42.3647,-71.0542
Fenway,42.3505,-71.1054
Boston University,42.3661,-71.0631
Boston University,42.2148,-71.033
Fenway,42.2148,-71.033
South Station,42.3519,-71.0551
South Station,42.2148,-71.033
South Station,42.3647,-71.0542
Theatre District,42.2148,-71.033
Theatre District,42.3519,-71.0643
West End,42.3661,-71.0631
West End,42.3647,-71.0542
West End,42.3429,-71.1003
West End,42.3644,-71.0661
West End,42.2148,-71.033
North End,42.3661,-71.0631
Theatre District,42.3647,-71.0542
Theatre District,42.3505,-71.1054
Theatre District,42.3588,-71.0707
Beacon Hill,42.2148,-71.033
Beacon Hill,42.3519,-71.0643
Back Bay,42.3661,-71.0631
Back Bay,42.2148,-71.033
Back Bay,42.3505,-71.1054
North Station,42.3519,-71.0551
Financial District,42.3559,-71.055
Financial District,42.3661,-71.0631
Financial District,42.3503,-71.081
Financial District,42.3647,-71.0542
Financial District,42.2148,-71.033
Fenway,42.3503,-71.081
Fenway,42.3588,-71.0707
Back Bay,42.3588,-71.0707
North End,42.3429,-71.1003
North End,42.3503,-71.081
West End,42.3505,-71.1054
West End,42.3519,-71.0551
North End,42.3505,-71.1054
South Station,42.3661,-71.0631
North End,42.3644,-71.0661
Northeastern University,42.3398,-71.0892
Northeastern University,42.3647,-71.0542
Boston University,42.3429,-71.1003
Northeastern University,42.3661,-71.0631
Northeastern University,42.2148,-71.033
Northeastern University,42.3505,-71.1054
Haymarket Square,42.3647,-71.0542
Haymarket Square,42.3519,-71.0551
Haymarket Square,42.3644,-71.0661
West End,42.3588,-71.0707
Theatre District,42.3429,-71.1003
Theatre District,42.3661,-71.0631
Northeastern University,42.3429,-71.1003
Northeastern University,42.3519,-71.0551
Northeastern University,42.3519,-71.0643
Back Bay,42.3519,-71.0643
Back Bay,42.3647,-71.0542
South Station,42.3505,-71.1054
South Station,42.3429,-71.1003
North Station,42.3505,-71.1054
North Station,42.3429,-71.1003
Northeastern University,42.3588,-71.0707
Boston University,42.3588,-71.0707
Haymarket Square,42.3505,-71.1054
South Station,42.3503,-71.081
Beacon Hill,42.3429,-71.1003
Beacon Hill,42.3505,-71.1054
Theatre District,42.3559,-71.055
Fenway,42.3519,-71.0551
Fenway,42.3661,-71.0631
Fenway,42.3519,-71.0643
North End,42.3519,-71.0643
West End,42.3503,-71.081
West End,42.3519,-71.0643
Haymarket Square,42.3398,-71.0892
Haymarket Square,42.3429,-71.1003
South Station,42.3588,-71.0707
Fenway,42.3647,-71.0542
Haymarket Square,42.3661,-71.0631
Haymarket Square,42.3503,-71.081
South Station,42.3644,-71.0661
Haymarket Square,42.3519,-71.0643
Haymarket Square,42.3588,-71.0707
Beacon Hill,42.3661,-71.0631
Back Bay,42.3429,-71.1003
Beacon Hill,42.3519,-71.0551
Financial District,42.3398,-71.0892
Financial District,42.3588,-71.0707
North Station,42.3588,-71.0707
North Station,42.3398,-71.0892
North Station,42.3644,-71.0661
Boston University,42.3519,-71.0551
Boston University,42.3644,-71.0661
Theatre District,42.3644,-71.0661
North Station,42.3559,-71.055
Financial District,42.3429,-71.1003
West End,42.3398,-71.0892
Financial District,42.3644,-71.0661
Theatre District,42.3519,-71.0551
Financial District,42.3519,-71.0643
Financial District,42.3505,-71.1054
Financial District,42.3519,-71.0551
South Station,42.3398,-71.0892
Beacon Hill,42.3398,-71.0892
Beacon Hill,42.3644,-71.0661
North End,42.3398,-71.0892
North End,42.3559,-71.055
Northeastern University,42.3644,-71.0661
Beacon Hill,42.3503,-71.081
Fenway,42.3644,-71.0661
Boston University,42.3503,-71.081
Theatre District,42.3503,-71.081
North Station,42.3519,-71.0643
North End,42.3519,-71.0551
Beacon Hill,42.3559,-71.055
Back Bay,42.3644,-71.0661
Back Bay,42.3398,-71.0892
Northeastern University,42.3503,-71.081
South Station,42.3519,-71.0643
Boston University,42.3398,-71.0892
Haymarket Square,42.3559,-71.055
Back Bay,42.3519,-71.0551
Theatre District,42.3398,-71.0892
Northeastern University,42.3559,-71.055
West End,42.3559,-71.055
Back Bay,42.3559,-71.055
Fenway,42.3559,-71.055
South Station,42.3559,-71.055
Boston University,42.3519,-71.0643
Fenway,42.3398,-71.0892
Boston University,42.3559,-71.055
